"University" ,"Guidelines"


"University of Pittsburgh",  "Teaching with Generative AI The revolution in the capabilities and availability of generative AI tools has caused both excitement and consternation in higher education  not always in equal measure. At the Teaching Center  we acknowledge both the potential benefits and the challenges of using generative AI technologies to enhance our academic work  and especially to support our teaching and learning  across the entire Pitt community. As we explore the applications of generative AI for improving the quality of teaching  we also recognize that it is imperative to uphold the principles of academic integrity and ethical conduct. We understand that all instructors will approach generative AI in their classrooms according to their own levels of knowledge  skill  and comfort with this new technology. We encourage all faculty to make use of this resource page and future AI related workshops and events as you navigate this new terrain. We also strongly recommend including an AI syllabus statement that will clearly communicate your expectations to your students in all your courses. Below you will find several suggested approaches  and samples of syllabus language  which can be used or modified for your own situations. suggested Syllabus Statements. Intellectual integrity is vital to an academic community and for my fair evaluation of your work. All work completed and/or submitted in this course must be your own  completed in accordance with the University s Guidelines on Academic Integrity. You may not engage in unauthorized collaboration or make use of ChatGPT or any other generative AI applications at any time. Some Use of Generative AI Permitted Under Some Circumstances or With Explicit Permission During this class  we may use Generative AI tools such as ChatGPT. You will be informed as to when  where  and how these tools are permitted to be used  along with guidance for attribution. Any use outside of this permission constitutes a violation of Pitt s Guidelines on Academic Integrity [PDF]. Broader Use of Generative AI Permitted/Encouraged Within Specified Guidelines The use of Generative AI tools  including ChatGPT  is encouraged/permitted in this course for students who wish to use them. You may choose to use AI tools to help brainstorm assignments or projects or to revise existing work you have written. However  to adhere to scholarly values  students must cite any AI-generated material that informed their work (this includes in-text citations and/or use of quotations  and in your reference list). Using an AI tool to generate content without proper attribution qualifies as academic dishonesty Potential teaching uses and examples The capacity of generative AI–both to streamline teaching tasks and to facilitate learning activities and assessments–is practically boundless. We offer a few examples below: Use prompt engineering strategies–like specifying length  format  or context or asking a generative AI tool to respond as a specific persona or to address a specific audience–to improve the quality of generative AI output. For example  you could copy/paste an assignment into ChatGPT and ask the AI to act as an undergraduate student in your discipline and identify questions and potential challenges of the assignment. Include a policy on your syllabus that clearly defines when  how  and how much students can use AI in your courses. If you decide to integrate AI into your teaching  definitely teach students about the capabilities  limitations  and best practices for using generative AI tools before they use those tools in class. Ask students to complete a written assignment  then use AI to generate a version of the same assignment. Instruct students to compare the two and reflect on their work. Instruct students to assign an AI tool a specific persona and roleplay a scenario Have students use AI to make a creative work that helps clarify or illustrate a course concept. Ask students to fact check and critique AI output.Encourage students to treat AI like a study buddy. Students can quiz themselves on course concepts using AI. Language-learning students can practice their language skills by chatting with AI. Teach students prompt engineering and ask them to complete authentic tasks that they will perform in their future professions using AI. Give students the option of using AI tools to revise their writing or code. Encourage students to use AI to brainstorm and refine topic and research question ideas Repository of sample assignments Sample Assignments That Integrate Generative AI  Created by Pitt Faculty (must be logged into Canvas to access). This living collection of sample assignments will continue to grow  evolve  and adapt as instructors innovate and share their discoveries with each other. We would like to see and share (with your permission) the fruits of your thinking. If you would like to submit an assignment to the repository  please email us the assignment  along with the course title and learning objectives Ethical use As a new and rapidly evolving tool that will powerfully affect education and most other social and cultural domains  generative AI presents fundamental concerns about how AI tools can or ought to be used. As those concerns develop and as ways of addressing them emerge and change in turn  we will all need to pivot frequently and reassess how we use those tools and how we encourage or monitor how our students use them With the understanding that these principles are not carved in stone  here are our top five considerations for promoting the ethical use of generative AI tools: Keep considerations of ethics on your radar. Be mindful of the need for vigilance  particularly in the early stages of this technology. Identify the ethical considerations relevant to your discipline  as well as considerations for integrating AI into teaching and learning.Recognize diversity  equity  and inclusion concerns as central to the use and proliferation of AI tools. Consider the accessibility of generative AI tools to all users and how AI  which uses the publicly available data it was trained on  can perpetuate biased  discriminatory  or inaccurate information. How will you help students learn to identify and mitigate these issues with AI output? Learn who can use or own the data that AI tools receive as input or produce as output. Large language models store input to use as training data. Explain to students that AI tools store and use their data and avoid inputting student-generated content into AI without their consent. Consider and discuss potential copyright concerns with students. For example: Who owns the product of the AI tool: the user who crafted the initial prompt  the rights-holder of the data that the AI consulted to generate that output  or the owner of the AI tool itself? Consider how our uses of generative AI technology will affect the future. Among the many potential implications of the impact of AI on data governance  politics  the media  and the environment  these tools also call upon us to explore what and how we teach students about using AI. How they see us model the role of users  how we restrict and permit their uses of the technology  and how we train them to deploy these tools in their later lives and careers are all questions of significant reach and impact. Encourage students to be critical consumers of these technologies. Generative AI tools will extend our reach and grasp for the foreseeable future  and it s important to encourage students to use AI productively. However  an uncritical use of generative AI tools–one that assumes that AI-generated material is always correct  accurate  fair  and unbiased  for example–can be harmful. Make your students skilled but skeptical consumers of these new tools. Encourage students to validate AI output using other sources"

"University of Colorado Boulder",  "AI ethics & higher education Casey Fiesler is an associate professor in the Department of Information Science who studies technology ethics and online communities. She s posted several videos about ChatGPT to her popular TikTok channel and has explored how educators might use AI platforms to help students learn. AI strengths and weaknesses Daniel Acuña is an associate professor in the Department of Computer Science and develops AI tools to mine scientific knowledge from vast  unstructured datasets. He recently discussed the strengths and limitations of ChatGPT in an article for The Conversation. AI in business Kai Larsen is associate professor in the Leeds School of Business and co-author of the book Automated Machine Learning for Business. He used ChatGPT to write a children s book about his pet bird called Dewey the Unhappy Cockatoo and can discuss the future of AI in business  education and more AI and the future of K-12 education Peter Foltz is a research professor in the Institute of Cognitive Science who has decades of experience designing  large language models ––a class of AI tools that includes ChatGPT and Bard. He is executive director of a $20-million National Science Foundation institute  which explores how AI might transform K-12 classrooms around the world. On AI and the law Harry Surden  professor of law  is a former software engineer who focuses on the intersection of law and technology  including artificial intelligence and legal automation. He can explain why ChatGPT s launch has surprised even AI experts and why it s taken Google s Bard so long to catch up. He can also discuss how LLMs can have the potential to change society  from both addressing and contributing to discrimination to improving access to justice. Surden has written extensively on topics ranging from ethics of AI in law to values embedded in legal artificial intelligence."

"University of Illinois at Urbana-Champaign",   "On March 21  Google announced that it will begin a slow roll out of its chatbot dubbed Bard  making the artificial intelligence platform available to a small number of users. The announcement follows last year s release of a similar platform called ChatGPT developed by OpenAI. The advanced chatbots can turn simple text prompts into tweets  poetry  songs  term papers and even books. Some critics have raised concerns that students could use these platforms to plagiarize essays or college applications. Others worry they could put certain professionals out of work. CU Boulder experts are available to discuss what the future holds for these AI platforms and what it might mean for people.  Learn more about ChatGPT and AI large language models (LLMs). AI ethics & higher education Casey Fiesler is an associate professor in the Department of Information Science who studies technology ethics and online communities. She s posted several videos about ChatGPT to her popular TikTok channel and has explored how educators might use AI platforms to help students learn. AI strengths and weaknesses Daniel Acuña is an associate professor in the Department of Computer Science and develops AI tools to mine scientific knowledge from vast  unstructured datasets. He recently discussed the strengths and limitations of ChatGPT in an article for The Conversation.AI in business Kai Larsen is associate professor in the Leeds School of Business and co-author of the book Automated Machine Learning for Business. He used ChatGPT to write a children s book about his pet bird called Dewey the Unhappy Cockatoo and can discuss the future of AI in business  education and more AI and the future of K-12 education Peter Foltz is a research professor in the Institute of Cognitive Science who has decades of experience designing  large language models ––a class of AI tools that includes ChatGPT and Bard. He is executive director of a $20-million National Science Foundation institute  which explores how AI might transform K-12 classrooms around the world. Harry Surden  professor of law  is a former software engineer who focuses on the intersection of law and technology  including artificial intelligence and legal automation. He can explain why ChatGPT s launch has surprised even AI experts and why it s taken Google s Bard so long to catch up. He can also discuss how LLMs can have the potential to change society  from both addressing and contributing to discrimination to improving access to justice. Surden has written extensively on topics ranging from ethics of AI in law to values embedded in legal artificial intelligence."
"University of Maryland  College Park", "Generative AI (GAI) is a subset of artificial intelligence that focuses on producing novel content by learning patterns from training data. Unlike conventional AI used for specific tasks  generative AI employs complex algorithms  especially deep learning models like Generative Adversarial Networks (GANs) and Variational Autoencoders (VAEs)  to create outputs resembling the training data. The central concept is enabling machines to craft original outputs  such as lifelike images of nonexistent objects or unique music compositions  by learning from extensive datasets to grasp patterns. Once trained  the AI generates new data points that bear similarities to the original but are entirely innovative. This technology finds applications in art  creativity  drug discovery  and generating synthetic data for training other AI models  highlighting its broad potential impact across industries and its rapid evolution in the AI domain. Guidance for Students  Faculty  and Staff General Guidance for Using GAI Considerations in Choosing a Generative Artificial Intelligence (GAI) Tool: Privacy risks: Be cautious as some tools might not guarantee data privacy and could be accessible by external parties. Avoid sharing sensitive information like credit card details or personal identifiers Misleading costs: Some tools might appear free initially but might require a credit card for a trial  making it difficult to cancel the subscription later. Stay vigilant of such tactics Learn to use: Familiarize yourself with tools like ChatGPT using available resources  such as training materials from UMD or comprehensive lists of prompts for different purposes Understand limitations: Recognize the capabilities and constraints of GAI tools  as they are predictive models and not sentient beings. Explore information about their limitations to use them effectively Use reputable resources: Ensure the tools you choose are from reliable companies like OpenAI s ChatGPT and DALL-E 2  Google s Bard  and Microsoft s Bing AI Safe computing: Adhere to guidelines provided by DIT to remain safe on the internet. Considerations for the Ethics of Using GAI GAI is not sentient: These models don t possess self-awareness but are trained on datasets  leading to inherent biases and limitations GAI is biased: Due to training on past data  these models may not account for current social changes and could have implicit biases GAI can mislead: Models might produce information that lacks veracity  relying on verbosity rather than actual evidence GAI prefers English: Language models can be biased towards Standard American English  disadvantaging other dialects and writing style Student Guidance for Using GAI How to Use GAI Responsibly in Academic Settings: Seek guidance from professors on appropriate use in coursework Verify information and citations from GAI and supplement with independent research Remember that GAI tools are only tools and shouldn t replace critical thinking Ask yourself relevant questions regarding your usage of GAI  its impact on your learning  content accuracy  and its equitable use compared to peers. Use these tools ethically to contribute positively to society Staff Guidance for Using GAI As GAI presents transformative possibilities for higher education and beyond  consider the following questions regarding your usage: Is the GAI-based tool aiding my learning and cognitive processes? Is the GAI-based tool enhancing or hindering my job performance? Is the content I generate accurate  verifiable and free from biases that may harm others? How will I handle content generated by GAI-based tools? How can my use of GAI-based tools contribute to the greater good of society Remember the ethical responsibility associated with using GAI-based tools  as they can impact both personal growth and societal well-being."


"University of California Davis",  "There is a great deal of interest in using OpenAI / ChatGPT and other large language models in the academic  research  clinical  and administrative areas of UC Davis. While we share in this enthusiasm  AI solutions are readily available far ahead of usage guidelines. Therefore  until there is more information about AI solutions and their appropriate usage at UC  do not use these technologies with sensitive UC Davis systems and data.More specifically  do not provide any text or other inputs to large language models or generative AI that might contain sensitive data  including identified or de-identified student information  personnel data  personnel conduct information  patient data  confidential financial data  confidential research information  or otherwise sensitive university information. For reference review OpenAI/ChatGPT s usage policies: https://openai.com/policies/usage-policies. More information will be provided to the UC Davis community as it becomes available and  once we have had an opportunity to collaborate with stakeholders including the Academic Senate. Additional information is forthcoming about students use for educational purposes. Meanwhile  if you have any questions about proper use of AI"

"University of California  Santa Cruz",  "Instructor Guidelines for Student Use of Generative Artificial Intelligence for Academic Work The University of Southern California s Academic Senate Committee on Information Services recommends that all USC schools  academic departments  and instructors adopt the following guidelines regarding student use of generative artificial intelligence for academic work. Instructors should encourage USC students to explore generative artificial intelligence (AI)  using these new tools to create  analyze  and evaluate new concepts and ideas that inspire them to generate their own academic work. In advance of this exploration  instructors should help students recognize that some contemporary AI-generated content may be specifically designed to appear plausible and persuasive but is sometimes factually inaccurate. Many of the issues that have surfaced with the introduction of ChatGPT – questions about academic integrity  authorship and citations  student engagement  misinformation and disinformation – are issues higher education and society have encountered in the past in response to the need for digital literacy. We suggest that generative AI is simply the newest addition to USC s digital literacy tools. Ultimately  this committee leaves instructors to set their own course policies regarding student use of generative AI. Whatever any given individual instructor decides should be clearly communicated to students in course materials. However  the committee recommends that instructors remind students that the acquisition of academic work in whole or in part from any source (from textbooks and journal articles to web resources to generative AI) and the subsequent presentation of those materials as the student s own work (whether that material is paraphrased or copied in verbatim or near-verbatim form) constitutes an academic integrity violation unless otherwise allowed by the instructor. Individual assignments and exams may have additional  specific requirements related to original work which should be clearly defined by the instructor. Because generative AI is a constantly evolving space  the committee encourages USC s instructors to begin to learn more about generative AI so they can better adjust their pedagogy and evolve as educators. The Current State of Student Use of Generative AI for Academic Work (MidFebruary 2023) Limitations of Guidelines Our focus in this document is narrow: to highlight the steps that USC s instructors need to take today to identify and to state their expectations with respect to student use of generative AI for academic work. In the weeks and months to come  we expect that USC s academic community will be asked to participate in broader conversations about generative AI and its place in academe and society. What is ChatGPT and what can it do? It is hard to overstate how much attention ChatGPT  a free online artificial (AI) chatbot that generates text in response to prompts  has received since its launch on November 30. One reason it has become so popular so quickly  surpassing 100 million monthly active users to become the fastestgrowing consumer internet application in history  is the ease and speed with which it can generate text on demand. Ask ChatGPT to  write a five-paragraph essay on the impact John Stuart Mill s recantation of the wages fund doctrine had on classical economics  or  explain what it means when people say   knowledge is knowing that Frankenstein is not the monster but wisdom is knowing that Frankenstein is the monster   or  write a sonnet about Clay Helton  and it creates plausible  human-like text responses in a matter of seconds. Scholars  researchers  and educators have demonstrated that  given the right prompts  ChatGPT can • Pass the final exam of an MBA-level Operations Management class at Wharton • (Barely) pass questions on a law school exam at the University of Minnesota • Pass all three exams that comprise the United States Medical Licensing Examination • Pass Google s coding exams and interviews at the level of an entry-level software engineer with no prior industry experience. Are students already using ChatGPT for academic work? Yes. Students are starting to use ChatGPT for their academic work. In a late-2022 nationwide survey of 1 000 students currently enrolled in US colleges and universities  nearly one-third of the students said they have already used ChatGPT to complete a written college assignment and nearly two-thirds of that group say that they have used it for 50% or more of their assignments. We expect both percentages to be even higher today. Are there other generative AI text tools like ChatGPT? Yes. ChatGPT is just the first in a wave of generative AI tools that will soon become ubiquitous. Generative AI is algorithms and tools that can be used to create new content  including audio  code  images  text  simulations  and videos. Recent new breakthroughs in the field have the potential to drastically change the way we approach content creation. (McKinsey & Company) Most of these new tools rely on  large language models  AI systems that use advanced statistical techniques to analyze and understand natural language data  such as text or speech  and generate human-like responses. Microsoft  already a major investor in OpenAI (makers of ChatGPT)  launched a new AIpowered Bing search engine and Edge browser in early February 2023 and intends to incorporate AI-content generation into Microsoft Office programs like Outlook  Word  and PowerPoint. Later in 2023  Microsoft will release technology that will allow companies  schools  and governments to create their own custom ChatGPT-powered AI text generators. Google is expected to launch its own ChatGPT competitor named Bard in early 2023. In the summer of 2022  Meta (formerly Facebook) released its Open Pretrained Transformer (OPT) large language model to developers and researchers. And that is just the beginning (see https://www.futuretools.io/ for a list of hundreds of new AI tools that be used to generate text  images  audio  and more). Considering this  we suggest that rather than focusing solely on ChatGPT  instructors should instead focus on what role they would like all generative AI tools to play in their classes and in their students  work going forward. How might instructors approach student use of generative AI? We suggest that there are two ways instructors can approach student use of generative AI: 1. Embrace and Enhance 2. Discourage and Detect Embrace and Enhance The good news is that many of the proven teaching and assessment techniques that worked in a pre-generative AI world still work in a world where any student with a cell phone and a generative AI account can create walls of academic(-sounding) text. USC s Center for Excellence in Teaching (CET) recently published a guide titled  Using AI text  image  and music-generating tools in your courses  that includes helpful ideas for incorporating AI-generators and AI-generated content in your course  including evaluating and critiquing AIgenerated content (including interrogating the content for biases) and asking students to create rebuttals. Like our recommendation that students should use generative AI to create  analyze  and evaluate new concepts and ideas that inspire them to generate their own academic work  CET recommends having your students use AI generators to brainstorm ideas  formulate and iterate question prompts  and refine responses  adding that you should Frame using AI tools as something to build upon. Remind students of the best way to use these tools in their discipline  such as for idea generation  essentializing  brainstorming  or gathering information about the typical understanding of a topic. All uses of AI tools should be supplemented with appropriate evidentiary support and reflection. Some students may lack the foundational knowledge to understand why or how AI-generated content is inaccurate. This presents an excellent teaching opportunity for you to demonstrate for your students generative AI s strengths and weaknesses. CET also offers several suggestions on designing assignments and assessments in the age of AI generators  including • Asking more nuanced questions  beyond simple definitions and common comparisons  related to the course text  articles  media  or activities that may be unknown to or beyond the capabilities of current AI generators  • Having students complete assignments and assessments during class time  • Requiring students to submit drafts of their papers or projects before they submit their finished work  and • Augmenting written papers with additional oral presentations  concept maps  group work  or case studies so that students can further demonstrate their understanding of the course objectives. If you are going to allow your students to use generative AI as a source in their academic work  you may want to consider requiring your students to clearly disclose the role generative AI played in formulating their work. OpenAI also has recommended language that you may want to adapt and adopt: The author generated this text in part with GPT-3  OpenAI s large-scale languagegeneration model. Upon generating draft language  the author reviewed  edited  and revised the language to their own liking and takes ultimate responsibility for the content of this publication. Discourage and Detect Some educators have asked how they can block student use of ChatGPT (see New York City Department of Education and others). We suggest that that would be akin to standing on the shore hoping to block a rising tide. Generative AI is here and is not going away. That said  if you wish to discourage student use of generative AI  let your students know this expectation both in your syllabus and in class."

"University of Arizona" ,   "The following guidance aims to help instructors thinking about the impact of generative artificial intelligence (AI) tools on teaching and learning. Specifically these guidelines suggest instructors: include a syllabus statement regarding use of AI tools; create transparent and productive learning environments by explicitly discussing appropriate  creative  and/or ethical AI use within a course  discipline  and/or profession; and prevent situations in which a student unintentionally engages in academic dishonesty while using AI tools. The University of Arizona Catalog includes a list of required syllabus policies  including The Code of Academic Integrity. The phrase  graded work/exercises must be the product of independent effort unless otherwise instructed  can be interpreted differently. Therefore  instructors should also include a statement specifically addressing course policy on the use of generative AI and discuss this policy with students. If applicable the syllabus should include information about the use of AI detection applications  because these involve sharing student-created work. Example syllabus statements are provided below. Students will potentially face different policies in different courses/assignments in regard to the use of generative AI. Also  there are many different ways students might interact with generative AI in their learning processes. Clarification about expectations is necessary. This is similar to the potentially different meanings of the phrase  open book exam.  Does  open book exam  include using the textbook and notes? Recorded lectures? The internet? Talking with classmates  friends  and family? It is extremely important to be direct and specific about course policies concerning AI. Starting with the syllabus  engage with students as partners in learning about types of AI as related to the course  discipline  and profession; and discussing issues of academic integrity II. Things to Consider About AI  Teaching  and Learning Generative AI tools based on large language models (LLMs) simultaneously present exciting opportunities and worrisome challenges. Prior to developing course policies about generative AI  consider the following issues. 2 Learning Goals for Students: Generative AI tools can augment learning and may be a technology that students will use in the future  but their use may not be relevant or appropriate in all situations. Evaluate how using AI or learning about AI fits with a course s goals and objectives. Consider whether or not the use of generative AI: aligns with the learning outcomes and objectives of the course; provides multiple means of engagement  representation  action or expression of learning; ameliorates differences in students language or preparatory experiences; facilitates process  practice  or develops durable critical thinking skills; prepares students for future employment and equips them with digital and information literacies; and/or makes the learning experience more interactive  personalized  or stimulating. Academic Integrity: The University of Arizona Code of Academic Integrity prohibits  all forms of academic dishonesty  including...cheating  fabrication  facilitating academic dishonesty  and plagiarism.  Definitions of  cheating  vary. Therefore  students need guidelines and explanations from you about what counts as  cheating  or  plagiarism  within the context of a specific course or assignment. Students may not be aware that AI policies can and will vary between courses  sections  instructors  and departments  so take time to support them in understanding and abiding by different policies. When introducing assignments  clearly articulate the expectations and/or boundaries of when  where  and how generative AI might be used—and  if used  how it will be documented. (See guidance on citation/acknowledgment in section III below.) In considering academic integrity in your course  also think about ways to foster honest behavior and if you can prevent or detect cheating. Note that AI-detecting tools are not reliably accurate. The University Center for Assessment  Teaching  and Technology can help you to review and re-think course assessment plans and assignments  and strategize how to promote and protect academic integrity. Accessibility  Equity  Risks  and Ethics: Specific students are likely to be more familiar with generative AI tools. According to a May 2023 Pew Research Study  Americans with higher household incomes and formal education were more likely to know about ChatGPT  and White adults who have heard of ChatGPT are consistently less likely than their Asian  Hispanic or Black counterparts to have used the chatbot for fun  work or education. Some people see this technology as a way to mend inequities. At the moment many generative AI tools are free  but more powerful versions of these tools are starting to charge a subscription fee. There are risks and practical precautions to keep in mind and discuss with your students: The companies that own these tools collect information  so you and your students should not enter confidential information. Review the privacy policies of any tool you use or suggest as class material. Large language models are trained on information from the internet  so their output contains misconceptions  biases  violence  racism  sexism  etc. that exist in that data. The use of intellectual property by large language models is debated; lawsuits about infringement on intellectual property rights are pending. Generative AI makes up (hallucinates) information that is non-existent but sounds plausible. Generative AI can be steered by the bias of human-written prompts  too. Generative AI tools are not search engines; the output needs to be checked. Not all generative AI tools meet the requirements for accessibility as defined by the Americans with Disabilities Act. AI companies have been criticized for unfair labor practices. AI-augmented Teaching: Generative AI can be used to design a course  create lesson plans  write multiple-choice questions  prepare a slide presentation or other course materials  and assist with responding to student work. Consider how you will acknowledge your use of generative AI tools. 3 Instructor Workload: Whatever your policy decision is  workload may increase. This includes  but is not limited to  creating a thoughtful syllabus policy; adjusting or adapting instruction  coursework  and assessments  and addressing students questions about allowable AI use. It may be more time-consuming to disallow the use of generative AI in courses  especially large sections. AI-detection tools are not reliable and the necessary evaluation by a human reader takes time. So  too  do discussions with students and documentation of violations. Consult with the University Center for Assessment  Teaching  and Technology if you would like to talk about your particular courses or learn more about generative AI  teaching  and learning." 


"Michigan State University",   "Developed in collaboration with campus stakeholders  we are pleased to share new university guidance on the use of generative artificial intelligence (AI). As technology continues to advance  it is essential for our community to stay aligned with emerging tools and technologies while simultaneously ensuring responsible and ethical practices.Generative AI  a branch of artificial intelligence that enables machines to create original content  poses both incredible opportunities and challenges. As we encourage the innovative use of new technology across various disciplines  it is equally vital to address potential risks and concerns. The purpose of this guidance is to provide a foundation for leveraging AI responsibly and ethically across all MSU environments  with the understanding that it will be updated as we learn more about both its applications and implications While all MSU community members must adhere to the MSU s established acceptable use and institutional data policies  specific types of data should be handled in different ways when using a generative AI product. Public data Generative AI can safely process publicly available information  general academic concepts  and non-sensitive data. Use of public data must still comply with MSU s policies and be considered relative to its ethical and reputational implications. Confidential or private data Do not enter confidential data  including  but not limited to  social security numbers  contact details  name/image/likeness  and any information covered by FERPA  HIPAA  or other regulations into any generative AI product. Research data Researchers must consider the nature and sensitivity of scholarly data before using generative AI to support research. Do not put data that are confidential  contain sensitive information  or are subject to specific legal or ethical requirements (e.g.  human subjects data) into any generative AI without proper anonymization and evaluation of potential risks  as well as express written consent from any other necessary parties. Intellectual property As questions around intellectual property and the use of generative AI are unresolved  the MSU community must avoid inputting proprietary or confidential information into generative AI  including unpublished research findings  internal university data or documents  or any information protected by intellectual property rights without express written consent from all stakeholders. While utilizing such technology  we must also consider issues surrounding misinformation and inaccuracies  bias and unintentional harm  inappropriate content  and algorithmic implications. More on these topics can be found in the guidelines. As a diverse institution of learning  it is our duty to foster an environment where cutting-edge technologies can be explored and harnessed to advance our uncommon will  resulting in better service to our communities. In partnership with campus partners who provided feedback on this project  we believe that adhering to these guidelines will not only preserve academic integrity but also contribute to the responsible advancement of AI applications. Together  we can shape a future that embraces the transformative power of technology while upholding our commitment to ethics and academic excellence."
"University of Florida",  "ChatGPT is a generative artificial intelligence (Gen AI) that uses a conversational natural language processing (NLP) model created by OpenAI. ChatGPT has made a large impression in many fields because of its ease-of-use and ability to write about seemingly any topic. ChatGPT s language model was trained using billions of words and phrases collected from the internet  and it can generate responses in a conversational  thread  and take previous prompts or instructions into account. ChatGPT can be accessed with a free account on OpenAI s website. Paid accounts are able to access more sophisticated Large Language Models (LLMs) like GPT-4 and connect with outside tools and resources using plugins.CONSIDERATIONS Before using ChatGPT  you should review the privacy and security guidelines on the Fast Path entry on the UFIT Integrated Risk Management website. Any data that falls under the Sensitive or Restricted data types should not be used with ChatGPT. This includes education records  unpublished research  personally identifiable information  and many other examples of data that would be inappropriate to disclose to the public. The CITT has advice on adapting assessments in light of ChatGPT and other generative AI tools on the Generative AI and Teaching page. We also offer consultations and webinars on AI and other tools impacting teaching and learning through our Tech Byte series. To discuss how your course or assignments can be designed with ChatGPT or other generative AI tools in mind  please request assistance with educational technology and tools from the CITT! Our technologists and instructional designers can provide advice on modifying assessments and explain in more detail how ChatGPT could affect your specific course."
"Howard University",   "Generative artificial intelligence (AI) technology is rapidly becoming an ubiquitous component of our daily existence. The Office of the Provost has developed an Initial Set of Guidelines for Use of Generative AI Tools to provide recommendations for engaging AI tools within academic settings by faculty  students  and other University stakeholders. Our Generative AI webpage offers a spectrum of information and resources on best practices related to the utilization of AI. We encourage you to review the guidelines. AI technology is evolving steadily  and we will continue to provide significant updates as appropriate."
"University of Michigan",  "University of Michigan s GenAI offerings With the rise of numerous GenAI-based tools  it is important to know how to choose a tool that works best for you. Tools provided by the University of Michigan  such as U-M GPT are private  secure  and free for students. Data you share while using these tools will not be used for training these models  and hence are not at risk of being leaked. Look for the umich.edu domain in the page link to verify that you are using a U-M website Choosing a GenAI tool to use The GenAI space is rapidly growing and expanding  with new tools and capabilities being revealed every few days. Hence  understanding what to look for in these tools is key. When considering tools outside of what the University offers  be aware of the following when choosing a tool for your needs: Privacy risks: Understand that in most cases  the data you share is not private and will be accessible by external parties hosting the GenAI-based tools. Do not share information that is considered private  or sensitive  such as credit card information  personal details such as ID numbers or addresses  and so on. Misleading costs: Be aware that some tools will be  free-to-start  or provide a more premium option with better functionality. Be wary of tools that require a credit card to sign up for it to start a free trial  as they may employ tactics that make it harder to then cancel the subscription. Learn to use: Educate yourself on the ways to use these tools like ChatGPT better  through resources such as: GenAI Training Resources from U-M 650+ Best Prompts for ChatGPT (Ultimate List for 2023) The 100 Best ChatGPT Prompts to Power Your Workflow Understand limitations: Understand what GenAI-based tools can or cannot do. GenAI might appear to have the ability like a conscious being in a conversation or application  but they are simply very large predictive models that infer from a massive dataset. Learn about what these models are limited at doing as well: 13 ChatGPT Limitations That You Need To Know | Amber What Are the Limitations of ChatGPT? Risks and Limitations of ChatGPT | Codecademy Use reputable resources: Should you use tools that are outside of U-M s offerings  ensure that are legitimate resources. Current companies in the space have a variety of products such as: OpenAI s ChatGPT and DALL-E 3 Google s Bard and  Microsoft s Bing AI and Microsoft 365 Copilot Amazon s Bedrock and CodeWhisperer And as a good rule of thumb  always know the safe computing practices. Safe Computing is a U-M resource for more information about protecting yourself and your data online Considering the ethics of using GenAI Following are some things to consider as you use GenAI-based tools  and how it may affect your usage of them in your day-to-day life: GenAI is not sentient: GenAI models or Large Language models (LLMs) might appear to possess sentience or self-awareness as a human would  but are simply systems trained on large and biased datasets. LLMs are designed to output the most likely  or most common results possible based on their data  and will invariably tend to suppress less common or marginalized information. GenAI is biased: GenAI models carry implicit biases in them that make them unsuitable for use in cases of ethical deliberation and decision  and should not be used in those circumstances. Furthermore  this data is from the past  which results in a loss of context for current social changes. GenAI can mislead: GenAI in its current stage will tend to  hallucinate or make up random data that is not true. Models have no real sense of what is true or false. These models are built to output what is most likely in a verbose manner  even if there might not be enough real information to back it up. GenAI prefers English: LLM models are currently heavily biased toward Standard American English. This means that writing styles and dialects adopted by other cultures and ethnic groups such in cases of African American or Indigenous English are at risk of being penalized for a privileged White-dominated form of writing instead. With that in mind  here are some basic guidelines that can help you in how you use GenAI in academic use: Use U-M s offerings that ensure your data privacy and security. Talk to your professor about how and where GenAI-based tools can be used in your course. Seek clarity on issues of syllabus wording  citation  and methods of use. Do not cite information from GenAI as the truth for the information it presents. Always check the citations that it provides  and research them yourself. You can also reach out to the Librarian for assistance in your research. GenAI-based tools are just that  tools that you wield. Your prompts can determine the quality of information that you get and should assist you in your academic growth. They do not and should not replace your ability for critical thinking and problem-solving as an individual If you have concerns about how GenAI is being used or limited in a course  or have disputes with the course instructor over the usage of these tools  we recommend first contacting your school or college  as they may be able to assist you in accessing training material specifically curated for your area"
